年份,2021年,2022年,2023年,2024年,2025年
镁锭产量（t）,24312.055,28739.01,27790.664,21045.539,18169.447
单位产品综合能耗,3614.98,3414.58,3312.074,3383.653,3619.718
（不含白灰）kgce/t,,,,,
单位产品综合能耗,3826.498,3482.727,3543.746,3505.731,3995.156
（含白灰）kgce/t,,,,,
一、电量消耗(kwh),43945955,51227745,51567329,40001424,37826133
①煅烧车间,8012195,8208791,10540027,6987405,6753780
②制球车间,9477331,12103911,11342986,10218173,10047505
③还原车间,24293225,28907064,27972814,21260141,19322550
④精炼车间,2163204,2007979,1711502,1535705,1702298
电量单耗（kwh/t),1807.58,1782.52,1855.56,1900.71,2081.85
①煅烧单耗,329.56,285.63,379.27,332.01,371.71
②制球单耗,389.82,421.17,408.16,485.53,552.99
③还原单耗,999.23,1005.85,1006.55,1010.2,1063.46
④精炼单耗,88.98,69.87,61.59,72.97,93.69
二、煤气消耗(m3）,150922356,162502179,159633832,119838605,116064082
①煅烧车间,45590244,46058330,54499890,40791320,38532402
②还原车间,91639791,103515721,93940486,70655166,68741578
④烘炉煤气,,915073,1017665,1672560,2550240
③精炼车间,13692321,12013055,10175791,6719559,6239862
煤气单耗含烘炉(m3/t）,6207.72,5654.41,5744.15,5694.25,6387.87
①煅烧单耗,1875.21,1602.64,1961.09,1938.24,2120.73
②还原单耗,3769.31,3601.92,3380.29,3357.25,3783.36
③烘炉单耗,,31.84,36.62,79.47,140.36
④精炼单耗,563.19,418.01,366.16,319.29,343.43
三、蒸汽消耗（t）,2075,2479,2568,1656,0
①还原车间,259,311,322,207,0
②精炼车间,1816,2168,2246,1449,0
蒸汽单耗（t/t）,0.09,0.09,0.09,0.08,0
①还原单耗,0.01,0.01,0.01,0.01,0
②精炼单耗,0.08,0.08,0.08,0.07,0
四、水消耗(t),147086,170025,161952,144744,177472
①还原车间,78448,164241,157670,141239,167051
②精炼车间,68638,5784,4282,3505,10421
水单耗（t/t）,6.05,5.92,5.83,6.88,9.77
①还原单耗,3.23,5.71,5.68,6.71,9.19
②精炼单耗,2.82,0.21,0.15,0.17,0.58
